height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 755
P.y = 17.275993, Pt.y = 0.000000, Q.y = 17.275993, Qt.y = 0.000000, R.y = 17.275993, Rt.y = 0.000000, S.y = 17.275993, St.y = 0.000000
P.y = 17.227087, Pt.y = 0.000000, Q.y = 17.227087, Qt.y = 0.000000, R.y = 17.227087, Rt.y = 0.000000, S.y = 17.227087, St.y = 0.000000
P.y = 17.177746, Pt.y = 0.000000, Q.y = 17.177746, Qt.y = 0.000000, R.y = 17.177746, Rt.y = 0.000000, S.y = 17.177746, St.y = 0.000000
P.y = 17.127970, Pt.y = 0.000000, Q.y = 17.127970, Qt.y = 0.000000, R.y = 17.127970, Rt.y = 0.000000, S.y = 17.127970, St.y = 0.000000
P.y = 17.077759, Pt.y = 0.000000, Q.y = 17.077759, Qt.y = 0.000000, R.y = 17.077759, Rt.y = 0.000000, S.y = 17.077759, St.y = 0.000000
P.y = 17.027113, Pt.y = 0.000000, Q.y = 17.027113, Qt.y = 0.000000, R.y = 17.027113, Rt.y = 0.000000, S.y = 17.027113, St.y = 0.000000
P.y = 16.976030, Pt.y = 0.000000, Q.y = 16.976030, Qt.y = 0.000000, R.y = 16.976030, Rt.y = 0.000000, S.y = 16.976030, St.y = 0.000000
P.y = 16.924513, Pt.y = 0.000000, Q.y = 16.924513, Qt.y = 0.000000, R.y = 16.924513, Rt.y = 0.000000, S.y = 16.924513, St.y = 0.000000
P.y = 16.872561, Pt.y = 0.000000, Q.y = 16.872561, Qt.y = 0.000000, R.y = 16.872561, Rt.y = 0.000000, S.y = 16.872561, St.y = 0.000000
P.y = 16.820173, Pt.y = 0.000000, Q.y = 16.820173, Qt.y = 0.000000, R.y = 16.820173, Rt.y = 0.000000, S.y = 16.820173, St.y = 0.000000
P.y = 16.767351, Pt.y = 0.000000, Q.y = 16.767351, Qt.y = 0.000000, R.y = 16.767351, Rt.y = 0.000000, S.y = 16.767351, St.y = 0.000000
P.y = 16.714094, Pt.y = 0.000000, Q.y = 16.714094, Qt.y = 0.000000, R.y = 16.714094, Rt.y = 0.000000, S.y = 16.714094, St.y = 0.000000
P.y = 16.660402, Pt.y = 0.000000, Q.y = 16.660402, Qt.y = 0.000000, R.y = 16.660402, Rt.y = 0.000000, S.y = 16.660402, St.y = 0.000000
P.y = 16.606274, Pt.y = 0.000000, Q.y = 16.606274, Qt.y = 0.000000, R.y = 16.606274, Rt.y = 0.000000, S.y = 16.606274, St.y = 0.000000
P.y = 16.551710, Pt.y = 0.000000, Q.y = 16.551710, Qt.y = 0.000000, R.y = 16.551710, Rt.y = 0.000000, S.y = 16.551710, St.y = 0.000000
P.y = 16.496712, Pt.y = 0.000000, Q.y = 16.496712, Qt.y = 0.000000, R.y = 16.496712, Rt.y = 0.000000, S.y = 16.496712, St.y = 0.000000
P.y = 16.441278, Pt.y = 0.000000, Q.y = 16.441278, Qt.y = 0.000000, R.y = 16.441278, Rt.y = 0.000000, S.y = 16.441278, St.y = 0.000000
P.y = 16.385410, Pt.y = 0.000000, Q.y = 16.385410, Qt.y = 0.000000, R.y = 16.385410, Rt.y = 0.000000, S.y = 16.385410, St.y = 0.000000
P.y = 16.329107, Pt.y = 0.000000, Q.y = 16.329107, Qt.y = 0.000000, R.y = 16.329107, Rt.y = 0.000000, S.y = 16.329107, St.y = 0.000000
P.y = 16.272369, Pt.y = 0.000000, Q.y = 16.272369, Qt.y = 0.000000, R.y = 16.272369, Rt.y = 0.000000, S.y = 16.272369, St.y = 0.000000
