height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 349
P.y = 17.735796, Pt.y = 0.000000, Q.y = 17.735796, Qt.y = 0.000000, R.y = 17.735796, Rt.y = 0.000000, S.y = 17.735796, St.y = 0.000000
P.y = 17.685936, Pt.y = 0.000000, Q.y = 17.685936, Qt.y = 0.000000, R.y = 17.685936, Rt.y = 0.000000, S.y = 17.685936, St.y = 0.000000
P.y = 17.635532, Pt.y = 0.000000, Q.y = 17.635532, Qt.y = 0.000000, R.y = 17.635532, Rt.y = 0.000000, S.y = 17.635532, St.y = 0.000000
P.y = 17.584587, Pt.y = 0.000000, Q.y = 17.584587, Qt.y = 0.000000, R.y = 17.584587, Rt.y = 0.000000, S.y = 17.584587, St.y = 0.000000
P.y = 17.533098, Pt.y = 0.000000, Q.y = 17.533098, Qt.y = 0.000000, R.y = 17.533098, Rt.y = 0.000000, S.y = 17.533098, St.y = 0.000000
P.y = 17.481066, Pt.y = 0.000000, Q.y = 17.481066, Qt.y = 0.000000, R.y = 17.481066, Rt.y = 0.000000, S.y = 17.481066, St.y = 0.000000
P.y = 17.428492, Pt.y = 0.000000, Q.y = 17.428492, Qt.y = 0.000000, R.y = 17.428492, Rt.y = 0.000000, S.y = 17.428492, St.y = 0.000000
P.y = 17.375374, Pt.y = 0.000000, Q.y = 17.375374, Qt.y = 0.000000, R.y = 17.375374, Rt.y = 0.000000, S.y = 17.375374, St.y = 0.000000
P.y = 17.321712, Pt.y = 0.000000, Q.y = 17.321712, Qt.y = 0.000000, R.y = 17.321712, Rt.y = 0.000000, S.y = 17.321712, St.y = 0.000000
P.y = 17.267508, Pt.y = 0.000000, Q.y = 17.267508, Qt.y = 0.000000, R.y = 17.267508, Rt.y = 0.000000, S.y = 17.267508, St.y = 0.000000
P.y = 17.212761, Pt.y = 0.000000, Q.y = 17.212761, Qt.y = 0.000000, R.y = 17.212761, Rt.y = 0.000000, S.y = 17.212761, St.y = 0.000000
P.y = 17.157471, Pt.y = 0.000000, Q.y = 17.157471, Qt.y = 0.000000, R.y = 17.157471, Rt.y = 0.000000, S.y = 17.157471, St.y = 0.000000
P.y = 17.101637, Pt.y = 0.000000, Q.y = 17.101637, Qt.y = 0.000000, R.y = 17.101637, Rt.y = 0.000000, S.y = 17.101637, St.y = 0.000000
